"filename", "language", "JavaScript", "HTML", "comment", "blank", "total"
"c:\Users\TBG\Documents\wappy\server\controllers\adminControllers.js", "JavaScript", 0, 0, 30, 1, 31
"c:\Users\TBG\Documents\wappy\server\controllers\apiControllers.js", "JavaScript", 0, 0, 58, 1, 59
"c:\Users\TBG\Documents\wappy\server\controllers\authControllers.js", "JavaScript", 0, 0, 33, 1, 34
"c:\Users\TBG\Documents\wappy\server\controllers\confirmEmailControllers.js", "JavaScript", 0, 0, 28, 1, 29
"c:\Users\TBG\Documents\wappy\server\controllers\favoriteControllers.js", "JavaScript", 0, 0, 27, 1, 28
"c:\Users\TBG\Documents\wappy\server\controllers\histrotyLoadControllers.js", "JavaScript", 0, 0, 31, 1, 32
"c:\Users\TBG\Documents\wappy\server\controllers\profileControllers.js", "JavaScript", 0, 0, 28, 1, 29
"c:\Users\TBG\Documents\wappy\server\controllers\util.js", "JavaScript", 0, 0, 34, 1, 35
"c:\Users\TBG\Documents\wappy\server\index.js", "JavaScript", -74, 0, 24, -13, -63
"c:\Users\TBG\Documents\wappy\server\logsControllers\logger.js", "JavaScript", 0, 0, 27, 1, 28
"c:\Users\TBG\Documents\wappy\server\logsControllers\metricks.js", "JavaScript", 0, 0, 28, 1, 29
"c:\Users\TBG\Documents\wappy\server\mail\send-mail.js", "JavaScript", 0, 0, 24, 1, 25
"c:\Users\TBG\Documents\wappy\server\mail\templates\mail.html", "HTML", 0, 0, 25, 1, 26
"c:\Users\TBG\Documents\wappy\server\schemas\User.js", "JavaScript", 0, 0, 28, 1, 29
"Total", "-", -74, 0, 425, 0, 351